Train_No,Train_Name,distance,Source_Station_Name,day_of_departure,Destination_Station_Name,day_of_arrival,departure_time,arrival_time
12245,HWH - YPR WE,2366,HOWRAH JN.,Tuesday,YESVANTPUR JN.,Wednesday,2:48:29,22:13:53
12246,YPR - HWH WE,2395,YESVANTPUR JN.,Saturday,HOWRAH JN.,Sunday,16:40:53,19:11:37
12247,BDTS NZM YUV,2647,BANDRA TERMINUS,Thursday,HAZRAT NIZAMUDDIN JN,Wednesday,1:23:08,12:24:55
12248,NZM  BDTS  Y,404,HAZRAT NIZAMUDDIN JN,Tuesday,BANDRA TERMINUS,Sunday,7:48:27,15:30:59
12249,HWH-ANVT YUV,446,HOWRAH JN.,Wednesday,ANAND VIHAR TERMINAL,Saturday,6:56:11,22:59:40
12250,ANVT-HWH YUV,575,ANAND VIHAR TERMINAL,Saturday,HOWRAH JN.,Thursday,20:35:24,5:41:13
12251,WAINGANGA EX,2740,YESVANTPUR JN.,Thursday,KORBA,Wednesday,16:45:19,17:22:55
12252,WAINGANGA EX,1098,KORBA,Saturday,YESVANTPUR JN.,Monday,19:27:01,11:56:28
12253,YPR-BGP ANGA,233,YESVANTPUR JN.,Thursday,BHAGALPUR,Friday,8:45:00,23:03:47
12254,BGP-YPR ANGA,2366,BHAGALPUR,Tuesday,YESVANTPUR JN.,Monday,12:57:59,21:04:04
12257,YPR-KCVL EXP,2975,YESVANTPUR JN.,Friday,KOCHUVELI,Sunday,4:05:29,3:29:23
12258,KCVL-YPR EXP,471,KOCHUVELI,Wednesday,YESVANTPUR JN.,Wednesday,11:36:05,11:50:48
12259,NDLS DURONTO,760,SEALDAH,Tuesday,NEW DELHI,Monday,11:43:39,3:55:48
12260,SDAH DURONTO,2798,NEW DELHI,Tuesday,SEALDAH,Sunday,8:02:08,8:02:36
12261,CSMT-HWH DUR,2517,CST-MUMBAI,Thursday,HOWRAH JN.,Saturday,23:49:24,11:55:30
12262,HWH-CSMT DUR,837,HOWRAH JN.,Sunday,CST-MUMBAI,Tuesday,13:16:29,0:03:12
12263,PUNE-NZM DUR,2266,PUNE JN.,Thursday,HAZRAT NIZAMUDDIN JN,Friday,6:55:16,1:53:14
12264,NZM-PUNE DUR,226,HAZRAT NIZAMUDDIN JN,Thursday,PUNE JN.,Friday,7:00:37,11:08:18
12265,DEE-JAT DURO,2462,DELHI-SARAI ROHILLA,Saturday,JAMMU TAWI,Sunday,6:18:51,0:15:43
12266,JAT-DEE,2022,JAMMU TAWI,Saturday,DELHI-SARAI ROHILLA,Sunday,6:01:19,6:56:12
12267,ADI DURONTO,2899,MUMBAI CENTRAL,Sunday,AHMEDABAD,Saturday,13:01:20,4:12:36
12268,BCT DURONTO,2852,AHMEDABAD,Sunday,MUMBAI CENTRAL,Wednesday,3:56:00,2:40:19
12269,MAS-NZM DURA,1618,CHENNAI CENTRAL,Wednesday,HAZRAT NIZAMUDDIN JN,Thursday,21:24:48,20:58:29
12270,NZM-MAS DURA,348,HAZRAT NIZAMUDDIN JN,Friday,CHENNAI CENTRAL,Wednesday,9:49:33,9:40:08
12273,HWH NDLS DUR,1423,HOWRAH JN.,Sunday,NEW DELHI,Wednesday,13:54:42,17:23:04
12274,HWH DURONTO,960,NEW DELHI,Tuesday,HOWRAH JN.,Saturday,23:02:46,21:15:36
12275,ALD-NDLS-DUR,2178,ALLAHABAD JN.,Wednesday,NEW DELHI,Friday,19:41:30,22:03:35
12276,NDLS-ALD-DUR,2440,NEW DELHI,Thursday,ALLAHABAD JN.,Saturday,2:13:20,19:08:16
12277,HWH-PURI SHA,701,HOWRAH JN.,Wednesday,PURI,Thursday,6:29:33,16:01:15
12278,PURI-HWH SHA,535,PURI,Tuesday,HOWRAH JN.,Sunday,15:43:13,5:15:50
12279,TAJ EXPRESS,1157,JHANSI JN,Saturday,HAZRAT NIZAMUDDIN JN,Tuesday,19:48:04,18:01:20
12280,TAJ EXPRESS,197,HAZRAT NIZAMUDDIN JN,Friday,JHANSI JN,Monday,12:32:40,11:32:30
12281,BBS-NDLS DUR,1290,BHUBANESWAR,Tuesday,NEW DELHI,Saturday,14:04:12,22:59:53
12282,NDLS-BBS DUR,2417,NEW DELHI,Tuesday,BHUBANESWAR,Friday,3:23:03,6:56:47
12283,ERS-NZM DURO,161,ERNAKULAM. JN,Wednesday,HAZRAT NIZAMUDDIN JN,Sunday,0:14:01,1:44:35
12284,NZM-ERS DURO,1866,HAZRAT NIZAMUDDIN JN,Tuesday,ERNAKULAM. JN,Monday,19:56:52,10:22:02
12285,SC-NZM DORON,1342,SECUNDERABAD JN.,Friday,HAZRAT NIZAMUDDIN JN,Sunday,19:45:11,16:01:31
12286,NZM-SC DURON,553,HAZRAT NIZAMUDDIN JN,Wednesday,SECUNDERABAD JN.,Sunday,2:01:31,5:10:36
12289,CSMT-NGP DUR,965,CST-MUMBAI,Thursday,NAGPUR JN.(CR),Tuesday,2:20:02,8:46:43
12290,NGP-CSMT DUR,2435,NAGPUR JN.(CR),Friday,CST-MUMBAI,Monday,5:24:10,23:55:04
12291,YPR-MAS EXP,280,YESVANTPUR JN.,Monday,CHENNAI CENTRAL,Sunday,18:18:31,7:12:42
12292,MAS-YPR EXP,2181,CHENNAI CENTRAL,Tuesday,YESVANTPUR JN.,Sunday,3:44:51,7:22:00
12293,LTT-ALD DURA,762,LOKMANYA TILAK TERMINUS,Sunday,ALLAHABAD JN.,Thursday,4:46:17,5:24:16
12294,ALD-LTT DURA,108,ALLAHABAD JN.,Saturday,LOKMANYA TILAK TERMINUS,Friday,0:07:02,23:46:28
12295,SBC-PPTA SAN,2347,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Friday,DANAPUR,Tuesday,5:36:57,4:22:49
12296,PNBE-SBC SAN,2133,DANAPUR,Sunday,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),Thursday,5:30:39,0:54:12
12297,ADI-PUNE DUR,377,AHMEDABAD,Wednesday,PUNE JN.,Sunday,19:44:32,14:15:08
12298,PUNE-ADI DOR,1941,PUNE JN.,Sunday,AHMEDABAD,Friday,11:52:16,6:31:40
12301,KOLKATA RAJD,2097,HOWRAH JN.,Tuesday,NEW DELHI,Monday,18:19:36,11:45:52
12302,KOLKATA RAJD,223,NEW DELHI,Wednesday,HOWRAH JN.,Thursday,12:34:47,20:40:54
12303,POORVA EXPRE,63,HOWRAH JN.,Wednesday,NEW DELHI,Sunday,12:01:47,20:39:13
12304,POORVA EXPRE,33,NEW DELHI,Monday,HOWRAH JN.,Sunday,8:31:01,14:50:01
12305,KOLKATA RAJD,2959,HOWRAH JN.,Thursday,NEW DELHI,Sunday,6:32:58,11:21:50
12306,KOLKATA RAJD,2476,NEW DELHI,Tuesday,HOWRAH JN.,Monday,8:21:21,22:25:31
12307,HWH-JU EXP,461,HOWRAH JN.,Friday,JODHPUR JN.,Thursday,13:37:10,6:49:46
12308,JU-HWH SUPFA,2359,JODHPUR JN.,Saturday,HOWRAH JN.,Saturday,22:25:50,20:18:14
12309,PATNA RAJDHA,38,RAJENDRANAGAR TERMINAL,Wednesday,NEW DELHI,Wednesday,1:19:58,16:39:08
12310,PATNA RAJDHA,2211,NEW DELHI,Saturday,RAJENDRANAGAR TERMINAL,Wednesday,1:09:57,7:18:59
12311,HWH DLIKLK M,1310,HOWRAH JN.,Sunday,KALKA,Sunday,6:54:48,11:50:14
12312,KLK DLI HWH,1531,KALKA,Monday,HOWRAH JN.,Monday,6:57:43,5:57:28
12313,SDAH RAJDHAN,795,SEALDAH,Thursday,NEW DELHI,Wednesday,14:26:29,15:27:27
12314,SDAH RAJDHAN,1332,NEW DELHI,Tuesday,SEALDAH,Saturday,0:13:35,4:03:03
12315,ANNANYA  EXP,2210,KOLKATA,Thursday,UDAIPUR CITY,Friday,18:39:58,20:42:53
12316,ANANYA EXPRE,2273,UDAIPUR CITY,Tuesday,KOLKATA,Monday,5:57:59,13:54:54
12317,AKAL TAKHT E,104,KOLKATA,Sunday,AMRITSAR JN.,Tuesday,4:22:11,22:45:08
12318,AKAL TAKHAT,2183,AMRITSAR JN.,Monday,KOLKATA,Wednesday,1:24:37,7:45:32
12319,KOAA-AGC WEE,1397,KOLKATA,Wednesday,AGRA CANTT,Thursday,20:36:23,10:31:44
12320,AGC-KOAA WEE,868,AGRA CANTT,Monday,KOLKATA,Monday,10:15:41,0:43:41
12321,HWH MUMBAI M,265,HOWRAH JN.,Tuesday,CST-MUMBAI,Saturday,11:45:29,10:43:34
12322,KOLKATA MAIL,748,CST-MUMBAI,Friday,HOWRAH JN.,Sunday,10:34:23,1:19:36
12323,HWH ANVT BI-,1901,HOWRAH JN.,Monday,ANAND VIHAR TERMINAL,Wednesday,7:17:26,16:03:43
12324,ANVT HWH BI-,2632,ANAND VIHAR TERMINAL,Friday,HOWRAH JN.,Sunday,10:23:26,20:12:40
12325,KOAA-NANGALD,2083,KOLKATA,Wednesday,NANGAL DAM,Monday,1:19:54,20:55:11
12326,NLDM-KOAA WK,1797,NANGAL DAM,Sunday,KOLKATA,Friday,14:07:05,7:29:08
12327,UPASANA EXPR,837,HOWRAH JN.,Friday,DEHRA DUN,Wednesday,17:04:22,15:38:33
12328,UPASANA EXPR,1950,DEHRA DUN,Saturday,HOWRAH JN.,Tuesday,13:19:58,11:49:45
12329,SAMPARK KRAN,134,SEALDAH,Tuesday,ANAND VIHAR TERMINAL,Thursday,14:11:36,11:20:32
12330,SAMPARKRANTI,730,ANAND VIHAR TERMINAL,Sunday,SEALDAH,Wednesday,7:06:14,3:37:17
12331,HIMGIRI EXPR,574,HOWRAH JN.,Thursday,JAMMU TAWI,Sunday,14:09:35,18:09:03
12332,HIMGIRI EXPR,507,JAMMU TAWI,Wednesday,HOWRAH JN.,Thursday,3:50:10,15:40:38
12333,VIBHUTI EXPR,2077,HOWRAH JN.,Sunday,ALLAHABAD CITY,Saturday,21:46:04,22:23:52
12334,VIBHUTI EXPR,1476,ALLAHABAD CITY,Wednesday,HOWRAH JN.,Friday,12:37:08,3:35:55
12335,BGP-LT(T) EX,708,BHAGALPUR,Tuesday,LOKMANYA TILAK TERMINUS,Sunday,2:33:23,11:30:13
12336,LTT-BGP EXP,1957,LOKMANYA TILAK TERMINUS,Friday,BHAGALPUR,Tuesday,14:48:45,10:47:25
12337,SHANTINIKETA,160,HOWRAH JN.,Sunday,BOLPUR,Saturday,12:53:57,3:05:30
12338,SHANTINIKETA,1306,BOLPUR,Sunday,HOWRAH JN.,Tuesday,0:16:27,15:58:07
12339,COALFIELD EX,425,HOWRAH JN.,Wednesday,DHANBAD JN.,Monday,8:17:43,2:56:35
12340,COALFIELD EX,762,DHANBAD JN.,Sunday,HOWRAH JN.,Friday,1:46:04,21:58:55
12341,AGNIVEENA EX,2945,HOWRAH JN.,Monday,ASANSOL MAIN,Wednesday,18:33:59,19:23:03
12342,AGNIVEENA EX,1241,ASANSOL MAIN,Tuesday,HOWRAH JN.,Friday,0:34:59,13:46:39
12343,DARJEELING M,1607,SEALDAH,Thursday,NEW JALPAIGURI JN,Tuesday,20:40:19,10:13:50
12344,DARJEELING M,1257,NEW JALPAIGURI JN,Tuesday,SEALDAH,Tuesday,13:30:06,21:37:15
12345,SARAIGHAT EX,1663,HOWRAH JN.,Tuesday,GUWAHATI,Sunday,8:23:48,1:42:50
12346,SARAIGHAT EX,1282,GUWAHATI,Wednesday,HOWRAH JN.,Friday,3:38:06,9:46:17
12347,HWH RPH EXP,561,HOWRAH JN.,Wednesday,RAMPUR HAT,Thursday,18:18:27,14:22:17
12348,RPH HWH EXP,244,RAMPUR HAT,Monday,HOWRAH JN.,Tuesday,23:20:57,2:43:20
12349,BGP NDLS EXP,1909,BHAGALPUR,Monday,NEW DELHI,Monday,15:36:43,14:36:09
12350,NDLS BGP  EX,1887,NEW DELHI,Wednesday,BHAGALPUR,Sunday,16:52:00,14:07:49
12351,DANAPUR EXPR,2496,HOWRAH JN.,Thursday,RAJENDRANAGAR TERMINAL,Saturday,13:40:46,6:45:48
12352,DANAPUR EXP,1547,RAJENDRANAGAR TERMINAL,Thursday,HOWRAH JN.,Thursday,3:59:37,10:26:00
12353,HWH LKU EXP,1588,HOWRAH JN.,Saturday,LALKUA JN.,Saturday,22:15:21,23:54:45
12354,LKU  HWH  EX,2682,LALKUA JN.,Friday,HOWRAH JN.,Tuesday,9:53:27,19:57:11
12355,ARCHNA EXPRE,2320,RAJENDRANAGAR TERMINAL,Monday,JAMMU TAWI,Tuesday,14:21:41,20:41:45
12356,ARCHNA EXPRE,1507,JAMMU TAWI,Friday,RAJENDRANAGAR TERMINAL,Thursday,2:25:03,2:27:14
12357,DURGIANA EXP,102,KOLKATA,Friday,AMRITSAR JN.,Monday,16:30:46,0:42:53
12358,ASR KOAA SUP,899,AMRITSAR JN.,Saturday,KOLKATA,Tuesday,10:14:10,14:32:44
12359,PNBE GARIB R,1029,KOLKATA,Tuesday,PATNA JN.,Monday,16:32:23,4:53:11
12360,KOL GARIB RA,1746,PATNA JN.,Friday,KOLKATA,Saturday,3:49:36,21:09:16
12361,ASN CSMT EXP,1274,ASANSOL MAIN,Thursday,CST-MUMBAI,Monday,2:38:22,22:53:00
12362,CSMT- ASANSO,675,CST-MUMBAI,Wednesday,ASANSOL MAIN,Monday,4:29:57,0:09:22
12363,KOAA HDB SF,2206,KOLKATA,Tuesday,HALDIBARI,Sunday,16:28:01,7:16:45
12364,HDB KOA SF E,188,HALDIBARI,Tuesday,KOLKATA,Wednesday,0:24:00,21:06:01
12365,PNBE-RNC JAN,1851,PATNA JN.,Thursday,RANCHI,Tuesday,1:29:14,16:25:30
12366,RNC-PNBE JAN,2203,RANCHI,Thursday,PATNA JN.,Monday,16:48:42,6:08:04
12367,VIKRAMSHILA,704,BHAGALPUR,Tuesday,ANAND VIHAR TERMINAL,Saturday,4:20:27,14:35:24
12368,VIKRAMSHILA,1958,ANAND VIHAR TERMINAL,Saturday,BHAGALPUR,Saturday,6:30:19,5:24:37
12369,KUMBHA EXPRE,1065,HOWRAH JN.,Friday,HARIDWAR JN,Wednesday,1:48:33,14:12:13
12370,HW HWH S F E,2394,HARIDWAR JN,Thursday,HOWRAH JN.,Tuesday,20:40:09,13:34:37
12371,HWH JSM SF E,2065,HOWRAH JN.,Wednesday,JAISALMER,Saturday,16:41:31,17:07:09
12372,JSM HWH SF E,1576,JAISALMER,Wednesday,HOWRAH JN.,Monday,18:31:31,10:50:22
12373,SDAH RPH INT,2078,SEALDAH,Tuesday,RAMPUR HAT,Monday,9:30:26,4:06:58
12374,RPH SDAH INT,2733,RAMPUR HAT,Friday,SEALDAH,Wednesday,23:04:30,1:21:29
12375,MAS ASN  EXP,1010,CHENNAI CENTRAL,Sunday,ASANSOL MAIN,Saturday,15:41:31,23:06:42
12376,ASN MAS  EXP,2599,ASANSOL MAIN,Tuesday,CHENNAI CENTRAL,Saturday,0:44:02,0:40:55
12377,PADATIK EXP,503,SEALDAH,Thursday,NEW ALIPURDUAR,Saturday,1:40:42,23:55:37
12378,PADATIK EXP,2105,NEW ALIPURDUAR,Wednesday,SEALDAH,Saturday,5:35:23,23:01:59
12379,JALIANWALA B,1107,SEALDAH,Monday,AMRITSAR JN.,Saturday,4:53:05,0:29:06
12380,JALIANWALA B,15,AMRITSAR JN.,Monday,SEALDAH,Wednesday,8:39:55,4:33:16
12381,POORVA EXPRE,2900,HOWRAH JN.,Tuesday,NEW DELHI,Saturday,20:47:25,15:51:45
12382,POORVA EXPRE,331,NEW DELHI,Sunday,HOWRAH JN.,Wednesday,7:17:05,9:25:58
12383,SDAH-ASN INT,1347,SEALDAH,Saturday,ASANSOL MAIN,Sunday,4:40:34,20:00:07
12384,INTERCITY EX,1509,ASANSOL MAIN,Tuesday,SEALDAH,Tuesday,10:12:23,20:49:44
12389,GAYA-CHENNAI,641,GAYA JN.,Thursday,CHENNAI EGMORE,Friday,17:31:00,0:43:25
12390,CHENNAI-EGMO,2490,CHENNAI EGMORE,Friday,GAYA JN.,Thursday,17:44:32,13:51:25
12391,SHRAMJEEVI E,900,RAJGIR,Saturday,NEW DELHI,Saturday,9:30:20,13:00:02
12392,SHRAMJEEVI E,2097,NEW DELHI,Saturday,RAJGIR,Saturday,16:09:32,6:56:56
12393,SAMPOORNA KR,2490,RAJENDRANAGAR TERMINAL,Friday,NEW DELHI,Thursday,8:44:05,0:39:40
12394,SAMPOORNKRAN,2424,NEW DELHI,Monday,RAJENDRANAGAR TERMINAL,Wednesday,10:08:35,11:36:35
12395,ZIYARAT EXPR,2356,RAJENDRANAGAR TERMINAL,Monday,AJMER JN.,Tuesday,7:57:28,18:33:40
12396,ZIYARAT EXPR,1592,AJMER JN.,Saturday,RAJENDRANAGAR TERMINAL,Sunday,18:17:45,13:04:05
12397,MAHABODHI EX,2810,GAYA JN.,Thursday,NEW DELHI,Saturday,11:53:20,7:55:02
12398,MAHABODHI EX,2023,NEW DELHI,Saturday,GAYA JN.,Tuesday,9:08:01,13:12:27
12401,MAGADH EXPRE,1383,ISLAMPUR,Saturday,NEW DELHI,Thursday,23:09:33,11:31:02
12402,MAGADH EXPRE,1874,NEW DELHI,Tuesday,ISLAMPUR,Saturday,9:57:15,5:24:58
12405,GONDWANA EXP,1747,BHUSAVAL JN.,Wednesday,HAZRAT NIZAMUDDIN JN,Sunday,8:23:26,19:43:51
12406,NZM BSL EXPR,708,HAZRAT NIZAMUDDIN JN,Monday,BHUSAVAL JN.,Sunday,19:33:29,6:55:09
12407,KARMABHOOMI,1036,NEW JALPAIGURI JN,Monday,AMRITSAR JN.,Sunday,19:38:17,21:59:09
12408,KARMABHOOMI,384,AMRITSAR JN.,Saturday,NEW JALPAIGURI JN,Wednesday,7:59:16,1:30:24
12409,GONDWANA EXP,1859,RAIGARH,Friday,HAZRAT NIZAMUDDIN JN,Friday,20:55:58,9:15:08
12410,GONDWANA EXP,815,HAZRAT NIZAMUDDIN JN,Wednesday,RAIGARH,Sunday,12:17:50,7:23:48
12411,CDG-ASR INTE,2593,CHANDIGARH,Tuesday,AMRITSAR JN.,Thursday,0:25:10,15:07:21
12412,ASR-CDG INTE,2499,AMRITSAR JN.,Tuesday,CHANDIGARH,Monday,17:25:03,7:45:29
12413,AII-JAT POOJ,270,AJMER JN.,Tuesday,JAMMU TAWI,Thursday,6:33:45,14:42:50
12414,JAT-AII POOJ,482,JAMMU TAWI,Sunday,AJMER JN.,Sunday,12:20:39,12:58:32
12415,IND NZM EXPR,689,INDORE BG,Sunday,DELHI-SARAI ROHILLA,Tuesday,4:26:59,8:34:25
12416,INTERCITY  E,2506,DELHI-SARAI ROHILLA,Wednesday,INDORE BG,Thursday,17:24:03,15:19:12
12417,PRAYAG RAJ E,2598,ALLAHABAD JN.,Friday,NEW DELHI,Sunday,13:03:33,8:14:44
12418,PRAYAG RAJ E,242,NEW DELHI,Wednesday,ALLAHABAD JN.,Monday,21:54:19,4:49:19
12419,GOMTI EXP,608,LUCKNOW JN.,Wednesday,NEW DELHI,Tuesday,1:32:45,12:37:32
12420,GOMTI EXPRES,11,NEW DELHI,Wednesday,LUCKNOW JN.,Wednesday,11:09:10,19:50:44
12421,NED-ASR SUPE,1749,NANDED,Saturday,AMRITSAR JN.,Saturday,16:38:06,11:38:03
12422,ASR-NED SUPE,2553,AMRITSAR JN.,Sunday,NANDED,Monday,21:42:22,8:26:09
12423,DBRT-NDLS RA,652,DIBRUGARH TOWN,Saturday,NEW DELHI,Friday,5:53:22,16:19:31
12424,NDLS-DBRT RA,993,NEW DELHI,Thursday,DIBRUGARH TOWN,Friday,21:14:21,5:40:15
12425,NDLS-JAT RAJ,2152,NEW DELHI,Thursday,JAMMU TAWI,Thursday,14:10:35,10:57:32
12426,JAT-NDLS RAJ,2377,JAMMU TAWI,Thursday,NEW DELHI,Monday,18:50:06,18:05:57
12427,REWA-ANVT EX,2870,REWA,Friday,ANAND VIHAR TERMINAL,Sunday,9:40:39,11:51:50
12428,ANVT-REWA EX,1225,ANAND VIHAR TERMINAL,Wednesday,REWA,Monday,9:10:17,2:19:07
12431,TVC-NZM RAJD,1768,TRIVANDRUM CENTRAL,Wednesday,HAZRAT NIZAMUDDIN JN,Friday,11:12:59,17:26:52
12432,NZM-TVC RAJD,924,HAZRAT NIZAMUDDIN JN,Tuesday,TRIVANDRUM CENTRAL,Wednesday,9:21:00,1:42:25
12433,MAS-NZM RAJD,316,CHENNAI CENTRAL,Tuesday,HAZRAT NIZAMUDDIN JN,Saturday,23:52:34,5:17:40
12434,NZM-MAS RAJD,2830,HAZRAT NIZAMUDDIN JN,Friday,CHENNAI CENTRAL,Sunday,6:31:05,9:27:32
12435,DBRT - NDLS,1329,DIBRUGARH TOWN,Tuesday,NEW DELHI,Friday,7:31:40,8:02:20
12436,NDLS - DBRT,981,NEW DELHI,Tuesday,DIBRUGARH TOWN,Monday,14:32:01,8:59:26
12437,RAJDHANI EXP,2051,SECUNDERABAD JN.,Saturday,HAZRAT NIZAMUDDIN JN,Wednesday,11:06:24,8:10:40
12438,NZM SC RAJDH,1921,HAZRAT NIZAMUDDIN JN,Monday,SECUNDERABAD JN.,Monday,15:45:42,19:24:46
12439,RNC NDLS RAJ,558,RANCHI,Thursday,NEW DELHI,Sunday,15:41:44,0:01:56
12440,NDLS RNC RAJ,383,NEW DELHI,Thursday,RANCHI,Thursday,23:03:45,8:29:31
12441,BSP-NDLS,1839,BILASPUR JN.,Tuesday,NEW DELHI,Thursday,14:32:09,22:01:12
12442,NDLS-BSP,1336,NEW DELHI,Tuesday,BILASPUR JN.,Thursday,16:54:40,8:00:08
12443,HLZ-ANVT EXP,1168,HALDIA,Tuesday,ANAND VIHAR TERMINAL,Saturday,10:14:17,9:52:04
12444,ANVT-HLZ EXP,1477,ANAND VIHAR TERMINAL,Friday,HALDIA,Thursday,23:31:31,13:43:16
12445,UTTAR SMPRK,907,NEW DELHI,Tuesday,SHRI MATA VAISHNO DEVI KATRA,Sunday,22:13:13,15:23:32
12446,UTTAR SMPRK,1789,SHRI MATA VAISHNO DEVI KATRA,Tuesday,NEW DELHI,Sunday,12:23:49,7:00:47
12447,U S KRANTI E,251,MANIKPUR JN.,Tuesday,HAZRAT NIZAMUDDIN JN,Sunday,23:48:03,12:27:34
12448,U P S KRANTI,2031,HAZRAT NIZAMUDDIN JN,Tuesday,MANIKPUR JN.,Saturday,22:36:20,14:46:29
12449,GOA SMPRK K,2685,MADGOAN JN.,Sunday,CHANDIGARH,Thursday,10:41:54,20:23:39
12450,GOA SMPRK KR,2130,CHANDIGARH,Monday,MADGOAN JN.,Wednesday,18:03:21,14:44:06
12451,SHRAM SHKTI,1429,KANPUR CENTRAL JN.,Wednesday,NEW DELHI,Saturday,14:39:49,6:40:10
12452,SHRAM SHKTI,369,NEW DELHI,Saturday,KANPUR CENTRAL JN.,Saturday,21:54:14,0:16:32
12453,RNC-NDLS,1873,RANCHI,Saturday,NEW DELHI,Friday,16:42:10,20:39:05
12454,NDLS-RNC,1739,NEW DELHI,Tuesday,RANCHI,Wednesday,22:01:40,9:01:27
12455,DEE- BKN EXP,743,DELHI-SARAI ROHILLA,Thursday,BIKANER JN.,Wednesday,2:15:44,0:23:47
12456,BKN-DEE  EXP,1267,BIKANER JN.,Tuesday,DELHI-SARAI ROHILLA,Sunday,10:46:08,7:49:43
12457,DEE BKN  S F,2760,DELHI-SARAI ROHILLA,Saturday,BIKANER JN.,Saturday,7:42:25,19:18:04
12458,BKN DEE S F,814,BIKANER JN.,Tuesday,DELHI-SARAI ROHILLA,Monday,18:10:10,20:01:24
12459,ASR-NDLS EXP,551,NEW DELHI,Tuesday,AMRITSAR JN.,Monday,16:38:05,19:24:48
12460,ASR-NDLS EXP,1881,AMRITSAR JN.,Sunday,NEW DELHI,Saturday,3:39:17,23:16:23
12461,MANDOR EXPRE,1491,DELHI JN.,Wednesday,JODHPUR JN.,Saturday,0:36:01,18:27:09
12462,MANDOR EXPRE,1738,JODHPUR JN.,Wednesday,DELHI JN.,Sunday,12:06:17,9:09:10
12463,RAJSTHN S KR,86,DELHI-SARAI ROHILLA,Thursday,JODHPUR JN.,Thursday,17:39:46,13:28:22
12464,RJSTHN S KRN,1592,JODHPUR JN.,Wednesday,DELHI-SARAI ROHILLA,Monday,8:25:23,19:51:12
12465,RANTHAMBORE,844,INDORE BG,Thursday,JODHPUR JN.,Thursday,9:07:52,11:22:43
12466,INTERCITY EX,2681,JODHPUR JN.,Tuesday,INDORE BG,Friday,20:18:45,3:11:15
12467,LEELAN EXP,371,JAISALMER,Friday,JAIPUR JN.,Thursday,22:41:33,5:21:36
12468,LEELAN EXP,795,JAIPUR JN.,Monday,JAISALMER,Tuesday,12:39:06,0:00:32
12469,CNB-JAT EXPR,642,KANPUR CENTRAL JN.,Friday,JAMMU TAWI,Friday,8:49:51,21:13:03
12470,JAT-CNB EXPR,98,JAMMU TAWI,Wednesday,KANPUR CENTRAL JN.,Thursday,7:40:10,3:11:41
12471,SWARAJ EXPRE,56,BANDRA TERMINUS,Wednesday,SHRI MATA VAISHNO DEVI KATRA,Thursday,20:34:43,11:27:54
12472,SWARAJ EXPRE,503,SHRI MATA VAISHNO DEVI KATRA,Friday,BANDRA TERMINUS,Wednesday,18:25:06,14:49:25
12473,SARVODAYA EX,595,AHMEDABAD,Wednesday,SHRI MATA VAISHNO DEVI KATRA,Monday,8:58:38,3:14:19
12474,SARVODAYA EX,2020,SHRI MATA VAISHNO DEVI KATRA,Friday,AHMEDABAD,Wednesday,12:38:42,11:49:41
12475,HAPA JAT EXP,1686,HAPA,Saturday,SHRI MATA VAISHNO DEVI KATRA,Wednesday,6:24:19,12:05:36
12476,SARVODAYA EX,1783,SHRI MATA VAISHNO DEVI KATRA,Friday,HAPA,Sunday,10:10:05,21:15:43
12477,JAM SVDK EXP,372,JAMNAGAR,Sunday,SHRI MATA VAISHNO DEVI KATRA,Friday,18:44:29,21:44:59
12478,SVDK- JAMNAG,1910,SHRI MATA VAISHNO DEVI KATRA,Saturday,JAMNAGAR,Thursday,23:51:47,2:55:16
12479,SURYA NAGRI,376,JODHPUR JN.,Sunday,BANDRA TERMINUS,Thursday,4:05:59,22:08:19
12480,SURYANAGARI,211,BANDRA TERMINUS,Saturday,JODHPUR JN.,Monday,9:10:23,7:09:01
12481,INTERCITY EX,2315,DELHI JN.,Monday,SHRI GANGANAGAR,Thursday,4:59:19,21:29:43
12482,INTERCITY EX,842,SHRI GANGANAGAR,Wednesday,DELHI JN.,Thursday,17:01:24,2:32:48
12483,KCVL EXPRESS,1418,KOCHUVELI,Thursday,AMRITSAR JN.,Sunday,5:51:54,19:52:55
12484,KCVL EXPRESS,2729,AMRITSAR JN.,Monday,KOCHUVELI,Monday,19:45:06,4:27:24
12485,NED SGNR EXP,1774,NANDED,Friday,SHRI GANGANAGAR,Saturday,22:18:13,8:55:11
12486,SGNR NED EXP,169,SHRI GANGANAGAR,Tuesday,NANDED,Sunday,9:11:42,4:39:34
12487,JBN-ANVT SUP,1705,JOGBANI,Wednesday,ANAND VIHAR TERMINAL,Thursday,11:49:19,21:35:19
12488,ANVT-JBNSUPE,945,ANAND VIHAR TERMINAL,Sunday,JOGBANI,Monday,2:47:35,14:44:40
12489,BKN DDR SF E,2269,BIKANER JN.,Saturday,DADAR,Sunday,23:38:01,20:56:38
12490,DDR BIKANER,1062,DADAR,Monday,BIKANER JN.,Thursday,6:16:29,7:09:28
12491,MOURDHWAJ EX,2894,BARAUNI JN.,Wednesday,JAMMU TAWI,Thursday,8:27:10,22:12:47
12492,MOURDHAJ EXP,1847,JAMMU TAWI,Wednesday,BARAUNI JN.,Wednesday,13:18:11,22:46:40
